"Division"	"State"	"LIB_N"	"LIB_P"	"ALP_N"	"ALP_P"	"Total"
"Banks"	"NSW"	35391	0.4859	37442	0.5141	72833
"Barton"	"NSW"	33817	0.4566	40250	0.5434	74067
"Bennelong"	"NSW"	45128	0.6013	29918	0.3987	75046
"Berowra"	"NSW"	52526	0.684	24268	0.316	76794
"Blaxland"	"NSW"	26056	0.3702	44328	0.6298	70384
"Bradfield"	"NSW"	55986	0.7577	17908	0.2423	73894
"Calare"	"NSW"	38800	0.5291	34538	0.4709	73338
"Charlton"	"NSW"	31298	0.4068	45646	0.5932	76944
"Chifley"	"NSW"	26109	0.3546	47513	0.6454	73622
"Cook"	"NSW"	46791	0.6228	28343	0.3772	75134
"Cowper"	"NSW"	44465	0.6156	27766	0.3844	72231
"Cunningham"	"NSW"	26122	0.3709	44302	0.6291	70424
"Dobell"	"NSW"	36558	0.4992	36675	0.5008	73233
"Eden-Monaro"	"NSW"	39318	0.5476	32487	0.4524	71805
"Farrer"	"NSW"	50611	0.7123	20439	0.2877	71050
"Fowler"	"NSW"	23544	0.3173	50648	0.6827	74192
"Gilmore"	"NSW"	40243	0.5624	31317	0.4376	71560
"Grayndler"	"NSW"	24776	0.3362	48910	0.6638	73686
"Greenway"	"NSW"	34305	0.4661	39299	0.5339	73604
"Gwydir"	"NSW"	47552	0.6851	21856	0.3149	69408
"Hughes"	"NSW"	42669	0.5489	35072	0.4511	77741
"Hume"	"NSW"	44174	0.6177	27345	0.3823	71519
"Hunter"	"NSW"	30976	0.4303	41003	0.5697	71979
"Kingsford-Smith"	"NSW"	28511	0.3985	43028	0.6015	71539
"Lindsay"	"NSW"	38442	0.5158	36088	0.4842	74530
"Lowe"	"NSW"	37978	0.5247	34405	0.4753	72383
"Lyne"	"NSW"	48801	0.6544	25776	0.3456	74577
"Macarthur"	"NSW"	46372	0.6069	30034	0.3931	76406
"Mackellar"	"NSW"	49341	0.6653	24827	0.3347	74168
"Macquarie"	"NSW"	41045	0.5636	31780	0.4364	72825
"Mitchell"	"NSW"	53293	0.7432	18410	0.2568	71703
"Newcastle"	"NSW"	27780	0.3881	43807	0.6119	71587
"New England"	"NSW"	48381	0.6918	21551	0.3082	69932
