"Division"	"State"	"LIB_N"	"LIB_P"	"ALP_N"	"ALP_P"	"Total"
"Adelaide"	"SA"	41405	0.4867	43671	0.5133	85076
"Aston"	"VIC"	51436	0.6315	30009	0.3685	81445
"Ballarat"	"VIC"	40057	0.4777	43795	0.5223	83852
"Banks"	"NSW"	35914	0.4894	37468	0.5106	73382
"Barker"	"SA"	63392	0.6988	27322	0.3012	90714
"Barton"	"NSW"	31557	0.4246	42772	0.5754	74329
"Bass"	"TAS"	32860	0.5263	29579	0.4737	62439
"Batman"	"VIC"	21664	0.2868	53880	0.7132	75544
"Bendigo"	"VIC"	43210	0.4904	44900	0.5096	88110
"Bennelong"	"NSW"	41735	0.5433	35079	0.4567	76814
"Berowra"	"NSW"	48358	0.6216	29437	0.3784	77795
"Blair"	"QLD"	50057	0.6121	31724	0.3879	81781
"Blaxland"	"NSW"	25622	0.3713	43383	0.6287	69005
"Bonner"	"QLD"	39298	0.5051	38503	0.4949	77801
"Boothby"	"SA"	47730	0.5537	38478	0.4463	86208
"Bowman"	"QLD"	46004	0.5912	31805	0.4088	77809
"Braddon"	"TAS"	33127	0.5113	31660	0.4887	64787
"Bradfield"	"NSW"	55336	0.6851	25434	0.3149	80770
"Brand"	"WA"	33605	0.4535	40499	0.5465	74104
"Brisbane"	"QLD"	36564	0.461	42759	0.539	79323
"Bruce"	"VIC"	36497	0.4652	41954	0.5348	78451
"Calare"	"NSW"	41562	0.511	39772	0.489	81334
"Calwell"	"VIC"	33184	0.4181	46184	0.5819	79368
"Canberra"	"ACT"	40649	0.4038	60029	0.5962	100678
"Canning"	"WA"	44434	0.5954	30189	0.4046	74623
"Capricornia"	"QLD"	37044	0.4486	45531	0.5514	82575
"Casey"	"VIC"	49111	0.6135	30946	0.3865	80057
"Charlton"	"NSW"	32751	0.4208	45084	0.5792	77835
"Chifley"	"NSW"	26500	0.3702	45084	0.6298	71584
"Chisholm"	"VIC"	36850	0.4735	40980	0.5265	77830
"Cook"	"NSW"	47470	0.6382	26907	0.3618	74377
"Corangamite"	"VIC"	46828	0.5532	37814	0.4468	84642
"Corio"	"VIC"	35549	0.4436	44588	0.5564	80137
"Cowan"	"WA"	37598	0.4922	38784	0.5078	76382
"Cowper"	"NSW"	43853	0.5645	33830	0.4355	77683
"Cunningham"	"NSW"	28229	0.3854	45026	0.6146	73255
"Curtin"	"WA"	48887	0.6462	26771	0.3538	75658
"Dawson"	"QLD"	49399	0.6038	32420	0.3962	81819
"Deakin"	"VIC"	44462	0.5497	36422	0.4503	80884
"Denison"	"TAS"	23427	0.3671	40397	0.6329	63824
"Dickson"	"QLD"	44199	0.5783	32229	0.4217	76428
"Dobell"	"NSW"	42151	0.559	33247	0.441	75398
"Dunkley"	"VIC"	49253	0.5938	33695	0.4062	82948
"Eden-Monaro"	"NSW"	43867	0.5214	40263	0.4786	84130
"Fadden"	"QLD"	46393	0.6528	24680	0.3472	71073
"Fairfax"	"QLD"	45452	0.6083	29267	0.3917	74719
"Farrer"	"NSW"	53129	0.6982	22968	0.3018	76097
"Fisher"	"QLD"	48068	0.6298	28253	0.3702	76321
"Flinders"	"VIC"	50689	0.6111	32255	0.3889	82944
"Forde"	"QLD"	47502	0.6298	27916	0.3702	75418
"Forrest"	"WA"	46871	0.6045	30665	0.3955	77536
"Fowler"	"NSW"	20140	0.2864	50174	0.7136	70314
"Franklin"	"TAS"	27350	0.4241	37139	0.5759	64489
"Fraser"	"ACT"	39589	0.3667	68359	0.6333	107948
"Fremantle"	"WA"	30696	0.4224	41970	0.5776	72666
"Gellibrand"	"VIC"	27833	0.3505	51587	0.6495	79420
"Gilmore"	"NSW"	48130	0.6008	31981	0.3992	80111
"Gippsland"	"VIC"	49181	0.577	36053	0.423	85234
"Goldstein"	"VIC"	49147	0.6003	32721	0.3997	81868
"Gorton"	"VIC"	28927	0.351	53486	0.649	82413
"Grayndler"	"NSW"	20686	0.274	54798	0.726	75484
"Greenway"	"NSW"	38381	0.5058	37498	0.4942	75879
"Grey"	"SA"	55528	0.6382	31480	0.3618	87008
"Griffith"	"QLD"	33313	0.4137	47207	0.5863	80520
"Groom"	"QLD"	56121	0.6895	25275	0.3105	81396
"Gwydir"	"NSW"	51835	0.6839	23957	0.3161	75792
"Hasluck"	"WA"	37078	0.5182	34468	0.4818	71546
"Herbert"	"QLD"	43828	0.562	34155	0.438	77983
"Higgins"	"VIC"	46561	0.5876	32678	0.4124	79239
"Hindmarsh"	"SA"	43399	0.4994	43507	0.5006	86906
"Hinkler"	"QLD"	46458	0.5481	38311	0.4519	84769
"Holt"	"VIC"	39577	0.4849	42036	0.5151	81613
"Hotham"	"VIC"	33877	0.426	45655	0.574	79532
"Hughes"	"NSW"	48279	0.6104	30813	0.3896	79092
"Hume"	"NSW"	51908	0.6413	29038	0.3587	80946
"Hunter"	"NSW"	29231	0.3625	51401	0.6375	80632
"Indi"	"VIC"	54863	0.6629	27901	0.3371	82764
"Isaacs"	"VIC"	40783	0.4852	43277	0.5148	84060
"Jagajaga"	"VIC"	39006	0.456	46531	0.544	85537
"Kalgoorlie"	"WA"	36502	0.563	28329	0.437	64831
"Kennedy"	"QLD"	48022	0.5895	33435	0.4105	81457
"Kingsford Smith"	"NSW"	30217	0.4099	43498	0.5901	73715
"Kingston"	"SA"	42327	0.5007	42208	0.4993	84535
"Kooyong"	"VIC"	47498	0.5958	32229	0.4042	79727
"La Trobe"	"VIC"	43394	0.5583	34337	0.4417	77731
"Lalor"	"VIC"	33806	0.4121	48218	0.5879	82024
"Leichhardt"	"QLD"	46541	0.6	31022	0.4	77563
"Lilley"	"QLD"	36817	0.4473	45493	0.5527	82310
"Lindsay"	"NSW"	40367	0.5526	32687	0.4474	73054
"Lingiari"	"NT"	18204	0.4234	24795	0.5766	42999
"Longman"	"QLD"	44848	0.5766	32926	0.4234	77774
"Lowe"	"NSW"	35688	0.467	40727	0.533	76415
"Lyne"	"NSW"	52564	0.6303	30830	0.3697	83394
"Lyons"	"TAS"	28065	0.4632	32519	0.5368	60584
"Macarthur"	"NSW"	44209	0.5951	30082	0.4049	74291
"Mackellar"	"NSW"	51415	0.6575	26780	0.3425	78195
"Macquarie"	"NSW"	46482	0.5892	32403	0.4108	78885
"Makin"	"SA"	43186	0.5093	41616	0.4907	84802
"Mallee"	"VIC"	62680	0.7475	21175	0.2525	83855
"Maranoa"	"QLD"	56085	0.7093	22986	0.2907	79071
"Maribyrnong"	"VIC"	31643	0.4053	46431	0.5947	78074
"Mayo"	"SA"	52780	0.6359	30223	0.3641	83003
"McEwen"	"VIC"	49322	0.5642	38096	0.4358	87418
"McMillan"	"VIC"	41477	0.5499	33954	0.4501	75431
"McPherson"	"QLD"	46737	0.6389	26411	0.3611	73148
"Melbourne"	"VIC"	23438	0.2886	57766	0.7114	81204
"Melbourne Ports"	"VIC"	37763	0.4626	43873	0.5374	81636
"Menzies"	"VIC"	49288	0.6067	31951	0.3933	81239
"Mitchell"	"NSW"	59950	0.7068	24865	0.2932	84815
"Moncrieff"	"QLD"	51003	0.7014	21718	0.2986	72721
"Moore"	"WA"	41486	0.6083	26710	0.3917	68196
"Moreton"	"QLD"	42694	0.5417	36118	0.4583	78812
"Murray"	"VIC"	59574	0.7408	20843	0.2592	80417
"New England"	"NSW"	50847	0.6321	29594	0.3679	80441
"Newcastle"	"NSW"	32547	0.4002	48771	0.5998	81318
"North Sydney"	"NSW"	48145	0.6003	32054	0.3997	80199
"O'Connor"	"WA"	51389	0.7039	21620	0.2961	73009
"Oxley"	"QLD"	31774	0.4028	47103	0.5972	78877
"Page"	"NSW"	42099	0.5423	35534	0.4577	77633
"Parkes"	"NSW"	48512	0.644	26823	0.356	75335
"Parramatta"	"NSW"	36926	0.4923	38083	0.5077	75009
"Paterson"	"NSW"	45244	0.5697	34176	0.4303	79420
"Pearce"	"WA"	47219	0.6294	27804	0.3706	75023
"Perth"	"WA"	31826	0.4327	41723	0.5673	73549
"Petrie"	"QLD"	46119	0.5792	33508	0.4208	79627
"Port Adelaide"	"SA"	31769	0.3709	53888	0.6291	85657
"Prospect"	"NSW"	32374	0.4288	43119	0.5712	75493
"Rankin"	"QLD"	36707	0.4677	41774	0.5323	78481
"Reid"	"NSW"	23958	0.3723	40388	0.6277	64346
"Richmond"	"NSW"	39259	0.4981	39560	0.5019	78819
"Riverina"	"NSW"	57440	0.7066	23854	0.2934	81294
"Robertson"	"NSW"	44308	0.5681	33682	0.4319	77990
"Ryan"	"QLD"	47997	0.6042	31438	0.3958	79435
"Scullin"	"VIC"	27563	0.3521	50726	0.6479	78289
"Shortland"	"NSW"	32521	0.4051	47754	0.5949	80275
"Solomon"	"NT"	25303	0.5281	22613	0.4719	47916
"Stirling"	"WA"	39578	0.5204	36468	0.4796	76046
"Sturt"	"SA"	49481	0.568	37638	0.432	87119
"Swan"	"WA"	34610	0.4992	34714	0.5008	69324
"Sydney"	"NSW"	27627	0.3358	54656	0.6642	82283
"Tangney"	"WA"	46050	0.6175	28530	0.3825	74580
"Throsby"	"NSW"	27680	0.35	51407	0.65	79087
"Wakefield"	"SA"	40848	0.5067	39768	0.4933	80616
"Wannon"	"VIC"	52504	0.6237	31680	0.3763	84184
"Warringah"	"NSW"	45250	0.6048	29566	0.3952	74816
"Watson"	"NSW"	24029	0.3486	44899	0.6514	68928
"Wentworth"	"NSW"	40847	0.5548	32777	0.4452	73624
"Werriwa"	"NSW"	31570	0.4069	46012	0.5931	77582
"Wide Bay"	"QLD"	51489	0.6289	30388	0.3711	81877
"Wills"	"VIC"	27155	0.331	54893	0.669	82048
