"Division"	"State"	"LIB_N"	"LIB_P"	"ALP_N"	"ALP_P"	"Total"
"Banks"	"NSW"	31410	0.4289	41818	0.5711	73228
"Barton"	"NSW"	30316	0.4024	45029	0.5976	75345
"Bennelong"	"NSW"	42075	0.5603	33013	0.4397	75088
"Berowra"	"NSW"	50457	0.6352	28983	0.3648	79440
"Blaxland"	"NSW"	20058	0.2794	51738	0.7206	71796
"Bradfield"	"NSW"	54276	0.732	19867	0.268	74143
"Calare"	"NSW"	38744	0.5321	34068	0.4679	72812
"Charlton"	"NSW"	29735	0.3703	50570	0.6297	80305
"Chifley"	"NSW"	21365	0.2911	52037	0.7089	73402
"Cook"	"NSW"	43510	0.5894	30310	0.4106	73820
"Cowper"	"NSW"	41335	0.5636	32002	0.4364	73337
"Cunningham"	"NSW"	22581	0.318	48423	0.682	71004
"Dobell"	"NSW"	35840	0.4665	40980	0.5335	76820
"Eden-Monaro"	"NSW"	36722	0.5018	36460	0.4982	73182
"Farrer"	"NSW"	44733	0.6462	24493	0.3538	69226
"Fowler"	"NSW"	18982	0.2367	61216	0.7633	80198
"Gilmore"	"NSW"	40013	0.5404	34037	0.4596	74050
"Grayndler"	"NSW"	20866	0.2768	54528	0.7232	75394
"Greenway"	"NSW"	31072	0.4006	46493	0.5994	77565
"Gwydir"	"NSW"	42480	0.6358	24330	0.3642	66810
"Hughes"	"NSW"	45154	0.5552	36179	0.4448	81333
"Hume"	"NSW"	40149	0.5806	29003	0.4194	69152
"Hunter"	"NSW"	25329	0.3531	46405	0.6469	71734
"Kingsford-Smith"	"NSW"	26190	0.366	45373	0.634	71563
"Lindsay"	"NSW"	39200	0.5128	37238	0.4872	76438
"Lowe"	"NSW"	33662	0.4537	40527	0.5463	74189
"Lyne"	"NSW"	45451	0.5972	30650	0.4028	76101
"Macarthur"	"NSW"	47060	0.5563	37529	0.4437	84589
"Mackellar"	"NSW"	48874	0.6564	25578	0.3436	74452
"Macquarie"	"NSW"	41053	0.541	34830	0.459	75883
"Mitchell"	"NSW"	53432	0.6985	23063	0.3015	76495
"Newcastle"	"NSW"	NA	NA	NA	NA	NA
"New England"	"NSW"	43086	0.6293	25377	0.3707	68463
"North Sydney"	"NSW"	49124	0.6222	29829	0.3778	78953
"Page"	"NSW"	39265	0.5236	35724	0.4764	74989
